"Year";"State";"Type";"Length";"Expense";"Value"
2013;"Indiana";"Public In-State";"2-year";"Fees/Tuition";3455.0
2013;"Indiana";"Public In-State";"4-year";"Fees/Tuition";8269.0
2013;"Indiana";"Public In-State";"4-year";"Room/Board";9489.0
2013;"Indiana";"Public Out-of-State";"2-year";"Fees/Tuition";7302.0
2013;"Indiana";"Public Out-of-State";"4-year";"Fees/Tuition";26538.0
2013;"Indiana";"Public Out-of-State";"4-year";"Room/Board";9489.0
2013;"Iowa";"Private";"4-year";"Fees/Tuition";15426.0
2013;"Iowa";"Private";"4-year";"Room/Board";6832.0
2013;"Iowa";"Public In-State";"2-year";"Fees/Tuition";4099.0
2013;"Iowa";"Public In-State";"4-year";"Fees/Tuition";7832.0
2013;"Iowa";"Public In-State";"4-year";"Room/Board";8525.0
2013;"Iowa";"Public Out-of-State";"2-year";"Fees/Tuition";5190.0
2013;"Iowa";"Public Out-of-State";"4-year";"Fees/Tuition";23019.0
2013;"Iowa";"Public Out-of-State";"4-year";"Room/Board";8525.0
2013;"Kansas";"Private";"4-year";"Fees/Tuition";20852.0
2013;"Kansas";"Private";"4-year";"Room/Board";7673.0
2013;"Kansas";"Public In-State";"2-year";"Fees/Tuition";2621.0
2013;"Kansas";"Public In-State";"4-year";"Fees/Tuition";6970.0
2013;"Kansas";"Public In-State";"4-year";"Room/Board";6931.0
2013;"Kansas";"Public Out-of-State";"2-year";"Fees/Tuition";4023.0
2013;"Kansas";"Public Out-of-State";"4-year";"Fees/Tuition";17646.0
2013;"Kansas";"Public Out-of-State";"4-year";"Room/Board";6931.0
2013;"Kentucky";"Private";"4-year";"Fees/Tuition";20639.0
2013;"Kentucky";"Private";"4-year";"Room/Board";8015.0
2013;"Kentucky";"Public In-State";"2-year";"Fees/Tuition";3391.0
2013;"Kentucky";"Public In-State";"4-year";"Fees/Tuition";8416.0
2013;"Kentucky";"Public In-State";"4-year";"Room/Board";8164.0
2013;"Kentucky";"Public Out-of-State";"2-year";"Fees/Tuition";11789.0
2013;"Kentucky";"Public Out-of-State";"4-year";"Fees/Tuition";19040.0
2013;"Kentucky";"Public Out-of-State";"4-year";"Room/Board";8164.0
2013;"Louisiana";"Private";"4-year";"Fees/Tuition";28691.0
2013;"Louisiana";"Private";"4-year";"Room/Board";10397.0
2013;"Louisiana";"Public In-State";"2-year";"Fees/Tuition";2837.0
2013;"Louisiana";"Public In-State";"4-year";"Fees/Tuition";5817.0
2013;"Louisiana";"Public In-State";"4-year";"Room/Board";8428.0
2013;"Louisiana";"Public Out-of-State";"2-year";"Fees/Tuition";5781.0
2013;"Louisiana";"Public Out-of-State";"4-year";"Fees/Tuition";17405.0
2013;"Louisiana";"Public Out-of-State";"4-year";"Room/Board";8428.0
2013;"Maine";"Private";"4-year";"Fees/Tuition";31558.0
2013;"Maine";"Private";"4-year";"Room/Board";11187.0
2013;"Maine";"Public In-State";"2-year";"Fees/Tuition";3409.0
2013;"Maine";"Public In-State";"4-year";"Fees/Tuition";9295.0
2013;"Maine";"Public In-State";"4-year";"Room/Board";9381.0
2013;"Maine";"Public Out-of-State";"2-year";"Fees/Tuition";6053.0
2013;"Maine";"Public Out-of-State";"4-year";"Fees/Tuition";24397.0
2013;"Maine";"Public Out-of-State";"4-year";"Room/Board";9381.0
2013;"Maryland";"Private";"4-year";"Fees/Tuition";32580.0
2013;"Maryland";"Private";"4-year";"Room/Board";12238.0
2013;"Maryland";"Public In-State";"2-year";"Fees/Tuition";3500.0
2013;"Maryland";"Public In-State";"4-year";"Fees/Tuition";8051.0
2013;"Maryland";"Public In-State";"4-year";"Room/Board";10043.0
2013;"Maryland";"Public Out-of-State";"2-year";"Fees/Tuition";8355.0
2013;"Maryland";"Public Out-of-State";"4-year";"Fees/Tuition";20199.0
2013;"Maryland";"Public Out-of-State";"4-year";"Room/Board";10043.0
2013;"Massachusetts";"Private";"4-year";"Fees/Tuition";36795.0
2013;"Massachusetts";"Private";"4-year";"Room/Board";13076.0
2013;"Massachusetts";"Public In-State";"2-year";"Fees/Tuition";4186.0
2013;"Massachusetts";"Public In-State";"4-year";"Fees/Tuition";10632.0
2013;"Massachusetts";"Public In-State";"4-year";"Room/Board";10462.0
2013;"Massachusetts";"Public Out-of-State";"2-year";"Fees/Tuition";9516.0
2013;"Massachusetts";"Public Out-of-State";"4-year";"Fees/Tuition";24399.0
2013;"Massachusetts";"Public Out-of-State";"4-year";"Room/Board";10462.0
2013;"Michigan";"Private";"4-year";"Fees/Tuition";18135.0
2013;"Michigan";"Private";"4-year";"Room/Board";8246.0
2013;"Michigan";"Public In-State";"2-year";"Fees/Tuition";2736.0
2013;"Michigan";"Public In-State";"4-year";"Fees/Tuition";11027.0
2013;"Michigan";"Public In-State";"4-year";"Room/Board";8838.0
2013;"Michigan";"Public Out-of-State";"2-year";"Fees/Tuition";5651.0
2013;"Michigan";"Public Out-of-State";"4-year";"Fees/Tuition";31047.0
2013;"Michigan";"Public Out-of-State";"4-year";"Room/Board";8838.0
2013;"Minnesota";"Private";"4-year";"Fees/Tuition";26499.0
2013;"Minnesota";"Private";"4-year";"Room/Board";8910.0
2013;"Minnesota";"Public In-State";"2-year";"Fees/Tuition";5362.0
2013;"Minnesota";"Public In-State";"4-year";"Fees/Tuition";10291.0
2013;"Minnesota";"Public In-State";"4-year";"Room/Board";7708.0
2013;"Minnesota";"Public Out-of-State";"2-year";"Fees/Tuition";6197.0
2013;"Minnesota";"Public Out-of-State";"4-year";"Fees/Tuition";16313.0
2013;"Minnesota";"Public Out-of-State";"4-year";"Room/Board";7708.0
2013;"Mississippi";"Private";"4-year";"Fees/Tuition";14592.0
2013;"Mississippi";"Private";"4-year";"Room/Board";6289.0
2013;"Mississippi";"Public In-State";"2-year";"Fees/Tuition";2276.0
2013;"Mississippi";"Public In-State";"4-year";"Fees/Tuition";6147.0
2013;"Mississippi";"Public In-State";"4-year";"Room/Board";7436.0
2013;"Mississippi";"Public Out-of-State";"2-year";"Fees/Tuition";4284.0
2013;"Mississippi";"Public Out-of-State";"4-year";"Fees/Tuition";15055.0
2013;"Mississippi";"Public Out-of-State";"4-year";"Room/Board";7436.0
2013;"Missouri";"Private";"4-year";"Fees/Tuition";19020.0
2013;"Missouri";"Private";"4-year";"Room/Board";8595.0
2013;"Missouri";"Public In-State";"2-year";"Fees/Tuition";2716.0
2013;"Missouri";"Public In-State";"4-year";"Fees/Tuition";7815.0
2013;"Missouri";"Public In-State";"4-year";"Room/Board";8421.0
2013;"Missouri";"Public Out-of-State";"2-year";"Fees/Tuition";5384.0
2013;"Missouri";"Public Out-of-State";"4-year";"Fees/Tuition";18885.0
2013;"Missouri";"Public Out-of-State";"4-year";"Room/Board";8421.0
2013;"Montana";"Private";"4-year";"Fees/Tuition";19737.0
2013;"Montana";"Private";"4-year";"Room/Board";7584.0
2013;"Montana";"Public In-State";"2-year";"Fees/Tuition";3151.0
2013;"Montana";"Public In-State";"4-year";"Fees/Tuition";6267.0
2013;"Montana";"Public In-State";"4-year";"Room/Board";7306.0
2013;"Montana";"Public Out-of-State";"2-year";"Fees/Tuition";8351.0
2013;"Montana";"Public Out-of-State";"4-year";"Fees/Tuition";20164.0
2013;"Montana";"Public Out-of-State";"4-year";"Room/Board";7306.0
2013;"Nebraska";"Private";"4-year";"Fees/Tuition";19478.0
2013;"Nebraska";"Private";"4-year";"Room/Board";7733.0
2013;"Nebraska";"Public In-State";"2-year";"Fees/Tuition";2594.0
2013;"Nebraska";"Public In-State";"4-year";"Fees/Tuition";7023.0
2013;"Nebraska";"Public In-State";"4-year";"Room/Board";8268.0
2013;"Nebraska";"Public Out-of-State";"2-year";"Fees/Tuition";3415.0
2013;"Nebraska";"Public Out-of-State";"4-year";"Fees/Tuition";16702.0
2013;"Nebraska";"Public Out-of-State";"4-year";"Room/Board";8268.0
2013;"Nevada";"Private";"4-year";"Fees/Tuition";16108.0
2013;"Nevada";"Private";"4-year";"Room/Board";21602.0
2013;"Nevada";"Public In-State";"2-year";"Fees/Tuition";2700.0
2013;"Nevada";"Public In-State";"4-year";"Fees/Tuition";4953.0
2013;"Nevada";"Public In-State";"4-year";"Room/Board";10991.0
2013;"Nevada";"Public Out-of-State";"2-year";"Fees/Tuition";9345.0
2013;"Nevada";"Public Out-of-State";"4-year";"Fees/Tuition";19156.0
